"","predictors(small_homes_pred_profile)"
"1","GrLivArea"
"2","TotalBsmtSF"
"3","OverallQual"
"4","BsmtFinSF1"
"5","LotArea"
"6","FirstFlrSF"
"7","GarageArea"
"8","FireplaceQu"
"9","Age"
"10","SecondFlrSF"
"11","AgeRemod"
"12","OverallCond"
"13","ExterQual"
"14","Fireplaces"
"15","BsmtFinType1"
"16","TotalBath"
"17","TotRmsAbvGrd"
"18","GarageCars"
"19","MSSubClass"
"20","GarageYrBlt"
"21","BsmtUnfSF"
"22","BedroomAbvGr"
"23","GarageType.Detchd"
"24","BsmtQual"
"25","OpenPorchSF"
"26","BsmtFullBath"
"27","GarageFinish"
"28","KitchenQual"
"29","MSZoning.RM"
"30","GarageType.Attchd"
"31","BsmtExposure"
"32","LotFrontage"
"33","MSZoning.RL"
"34","CentralAir"
"35","Neighborhood.Crawfor"
"36","HouseStyle.2Story"
"37","MasVnrArea"
"38","WoodDeckSF"
"39","BsmtCond"
"40","Exterior2nd.VinylSd"
"41","HeatingQC"
"42","LotShape"
"43","Exterior1st.VinylSd"
"44","GarageQual"
"45","GarageCond"
"46","KitchenAbvGr"
"47","Foundation.PConc"
"48","HouseStyle.1Story"
"49","Neighborhood.Edwards"
"50","Neighborhood.CollgCr"
"51","Functional.Typ"
"52","Neighborhood.NoRidge"
"53","MasVnrType.None"
"54","Foundation.CBlock"
"55","Neighborhood.NAmes"
"56","Neighborhood.MeadowV"
"57","Exterior2nd.MetalSd"
"58","RoofStyle.Hip"
"59","Exterior1st.MetalSd"
"60","Neighborhood.Gilbert"
"61","Exterior1st.CemntBd"
"62","Exterior2nd.CmentBd"
"63","Neighborhood.OldTown"
"64","BsmtFinType2"
"65","MasVnrType.Stone"
"66","Exterior2nd.Brk.Cmn"
"67","Neighborhood.NPkVill"
"68","Neighborhood.NWAmes"
"69","Exterior1st.HdBoard"
"70","RoofStyle.Gable"
"71","MasVnrType.BrkFace"
"72","BldgType.TwnhsE"
"73","Neighborhood.Sawyer"
"74","Neighborhood.BrDale"
"75","Neighborhood.ClearCr"
"76","GarageType.NA"
"77","BldgType.Duplex"
"78","LandContour.Lvl"
"79","Neighborhood.NridgHt"
"80","BsmtFinSF2"
"81","MSZoning.FV"
"82","Heating.Wall"
"83","RemodFlag"
"84","BldgType.Twnhs"
"85","SaleType.WD"
"86","GarageType.CarPort"
"87","LandSlope"
"88","LandContour.Low"
"89","SaleCondition.Normal"
"90","SaleCondition.Partial"
"91","GarageType.BuiltIn"
"92","ScreenPorch"
"93","threePorch"
"94","PavedDrive.Y"
"95","Exterior1st.Plywood"
"96","SaleType.New"
"97","Exterior1st.WdShing"
"98","Condition1.RRAe"
"99","Foundation.Slab"
"100","Neighborhood.Somerst"
"101","Exterior2nd.HdBoard"
"102","LowQualFinSF"
"103","Condition1.Norm"
"104","Functional.Maj2"
"105","Exterior2nd.Wd.Shng"
"106","Neighborhood.SawyerW"
"107","Exterior2nd.Plywood"
"108","Alley.Pave"
"109","Fence.NA"
"110","Electrical.FuseF"
"111","Exterior1st.BrkComm"
"112","Fence.GdWo"
"113","Neighborhood.SWISU"
"114","SaleType.ConLD"
"115","HouseStyle.2.5Unf"
"116","YrMoSold"
"117","LotConfig.CulDSac"
"118","Functional.Min2"
"119","Functional.Min1"
"120","HouseStyle.SLvl"
"121","BsmtHalfBath"
"122","SaleType.ConLw"
"123","Exterior1st.BrkFace"
"124","Fence.MnPrv"
"125","Exterior2nd.Stucco"
"126","HouseStyle.1.5Unf"
"127","Exterior1st.Stucco"
"128","GarageType.Basment"
"129","Condition1.RRNe"
"130","RoofMatl.WdShngl"
"131","LotConfig.Inside"
"132","ExterCond"
"133","SaleType.ConLI"
"134","PoolArea"
"135","Condition1.PosN"
"136","PoolQC"
"137","HouseStyle.SFoyer"
"138","HouseStyle.2.5Fin"
"139","Condition1.RRNn"
"140","RoofStyle.Mansard"
"141","Exterior2nd.ImStucc"
"142","Neighborhood.Timber"
"143","MasVnrType.NA"
"144","MiscFeature.Shed"
"145","LotConfig.FR3"
"146","SaleType.CWD"
"147","SaleCondition.Family"
"148","Electrical.FuseP"
"149","Condition2.PosA"
"150","Condition2.PosN"
"151","Condition2.RRAe"
"152","Condition2.RRAn"
"153","Condition2.RRNn"
"154","Electrical.Mix"
"155","Electrical.NA"
"156","Exterior1st.AsphShn"
"157","Exterior1st.CBlock"
"158","Exterior1st.ImStucc"
"159","Exterior1st.NA"
"160","Exterior1st.Stone"
"161","Exterior2nd.CBlock"
"162","Exterior2nd.NA"
"163","Exterior2nd.Other"
"164","Fence.No"
"165","Foundation.Wood"
"166","Functional.NA"
"167","Functional.Sev"
"168","Heating.OthW"
"169","MiscFeature.NA"
"170","MiscFeature.TenC"
"171","MSZoning.NA"
"172","Neighborhood.Blueste"
"173","RoofMatl.Membran"
"174","RoofMatl.Metal"
"175","RoofMatl.Roll"
"176","RoofStyle.Shed"
"177","SaleType.Con"
"178","SaleType.NA"
"179","Utilities.NA"
"180","Utilities.NoSeWa"
"181","PavedDrive.P"
"182","Exterior2nd.Stone"
"183","Neighborhood.Veenker"
"184","RoofMatl.WdShake"
"185","Exterior1st.Wd.Sdng"
"186","MiscFeature.Othr"
"187","Alley.NA"
"188","LotConfig.FR2"
"189","Electrical.SBrkr"
"190","Functional.Mod"
"191","Condition1.Feedr"
"192","Exterior2nd.Wd.Sdng"
"193","Street.Pave"
"194","MiscFeature.No"
"195","Exterior2nd.AsphShn"
"196","Exterior2nd.BrkFace"
"197","LandContour.HLS"
"198","MSZoning.RH"
"199","Foundation.Stone"
"200","Alley.No"
"201","Fence.MnWw"
"202","SaleCondition.Alloca"
"203","Heating.GasA"
"204","Neighborhood.BrkSide"
"205","Heating.GasW"
"206","SaleType.Oth"
"207","Condition2.Norm"
"208","SaleCondition.AdjLand"
"209","MiscVal"
"210","Condition2.Feedr"
"211","BldgType.2fmCon"
"212","Id"
"213","RoofMatl.CompShg"
"214","Condition1.RRAn"
"215","Neighborhood.Mitchel"
"216","EnclosedPorch"
"217","Condition1.PosA"
"218","RoofMatl.Tar.Grv"
"219","Heating.Grav"
"220","Neighborhood.StoneBr"
"221","RoofStyle.Gambrel"
"222","Neighborhood.IDOTRR"
